device_id,datekey,low_rpm_significant_hr,PercTimeSignificant,total_time_hr,usage_time_hr,Som van total_daily_fuel_ltr,PercTimeStationair
50019,20231213,0.256667,4.29%,7.7608333333,5.976389,15.5,17.75%
50019,20240116,0.257222,3.29%,9.1647222167,7.813333,147,7.64%
50019,20231018,0.272778,3.91%,9.3508333333,6.973889,126,8.57%
50019,20250728,0.273333,2.75%,9.9258333333,9.925833,182.5,7.50%
50019,20250213,0.273333,3.58%,9.3488888833,7.645556,138,6.70%
50019,20250510,0.273611,1.58%,17.28055555,17.280556,357.5,3.76%
50019,20240614,0.273611,3.45%,9.8522222167,7.936944,132.5,17.05%
50019,20241125,0.275,3.41%,9.4133333333,8.073889,122,10.04%
50019,20250225,0.290556,3.57%,10.74694445,8.127778,126,9.05%
50019,20241105,0.290556,5.04%,8.565,5.76,81.5,12.53%
50019,20250211,0.290833,4.73%,8.6847222167,6.147222,93.5,10.30%
50019,20230718,0.296944,3.94%,8.5652777833,7.530556,114,11.59%
50019,20230731,0.298333,2.56%,16.6861111167,11.664167,134.5,5.15%
50019,20250612,0.307778,2.45%,15.6213888833,12.545278,241,7.51%
50019,20250801,0.307778,3.23%,9.5316666667,9.531667,470.5,10.04%
50019,20240315,0.307778,4.88%,7.89305555,6.308611,311.5,9.22%
50019,20240308,0.308056,5.00%,8.2858333333,6.156389,109,9.45%
50019,20240410,0.323333,6.33%,8.1316666667,5.110278,114.5,16.04%
50019,20250717,0.324722,3.37%,9.6377777833,9.637778,235,6.92%
50019,20250908,0.324722,3.93%,9.20055555,8.269444,200,7.65%
50019,20241112,0.324722,4.83%,8.4622222167,6.7275,124,11.06%
50019,20250122,0.325,4.56%,9.32694445,7.125,140,8.87%
50019,20240620,0.336944,4.09%,9.80305555,8.241667,93,15.12%
50019,20241124,0.341389,6.25%,5.4622222167,5.462222,71,7.82%
50019,20250909,0.341667,4.10%,9.2883333333,8.338611,189.5,8.20%
50019,20250624,0.341667,6.70%,8.0216666667,5.098611,56.5,34.08%
50019,20240329,0.341944,5.26%,9.3363888833,6.497778,120,13.75%
50019,20240619,0.345833,4.25%,10.2861111167,8.1425,110,9.42%
50019,20240112,0.348333,4.20%,9.11444445,8.296667,132.5,8.32%
50019,20241114,0.364167,6.63%,7.9875,5.496389,119,8.49%
50019,20250919,0.376111,4.66%,9.5258333333,8.075,191,15.46%
50019,20231205,0.388056,7.16%,7.0002777833,5.422778,37,10.62%
50019,20251031,0.395278,4.17%,17.9688888833,9.468056,150.5,12.43%
50019,20240531,0.395833,6.50%,7.85694445,6.093056,97,8.46%
50019,20240125,0.405833,5.15%,8.2833333333,7.874722,157.5,7.33%
50019,20250807,0.426944,4.56%,9.69055555,9.355278,202.5,14.51%
50019,20250702,0.444167,7.22%,6.6675,6.154722,0,24.16%
50019,20251022,0.444444,5.84%,9.36944445,7.614444,119.5,7.19%
50019,20240923,0.461389,6.15%,9.36694445,7.500556,100,12.08%
50019,20241122,0.461667,5.87%,18.0802777833,7.8675,158,8.04%
50019,20241010,0.478333,8.42%,10.0247222167,5.679444,97,18.36%
50019,20250822,0.478611,5.36%,8.9313888833,8.931389,219.5,7.47%
50019,20241212,0.478611,5.37%,9.5522222167,8.910278,152,12.28%
50019,20250411,0.478611,5.71%,9.65,8.380833,206,10.20%
50019,20240815,0.490556,6.37%,9.07555555,7.700278,123,11.26%
50019,20250331,0.495833,12.22%,15.8991666667,4.058056,131.5,14.74%
50019,20231101,0.496111,6.75%,8.955,7.346944,118,9.08%
50019,20250731,0.5125,5.37%,9.5461111167,9.546111,0,16.20%
50019,20240711,0.5125,8.73%,9.9302777833,5.872222,96.5,23.28%
50019,20250203,0.512778,6.74%,9.42305555,7.613611,136.5,10.33%
50019,20250929,0.513056,5.95%,9.97194445,8.619444,217.5,10.12%
50019,20250724,0.529722,5.37%,9.8697222167,9.869722,88,13.51%
50019,20250804,0.529722,5.68%,9.3336111167,9.333611,169,15.75%
50019,20240522,0.530278,6.23%,11.0677777833,8.512778,156,8.04%
50019,20240625,0.530278,7.90%,9.4991666667,6.716667,70,19.87%
50019,20251020,0.547222,8.60%,8.5741666667,6.360556,123,9.72%
50019,20241218,0.558889,8.61%,8.80694445,6.490278,76,22.87%
50019,20241029,0.564167,7.32%,9.4086111167,7.708611,138,20.62%
50019,20250220,0.581111,7.32%,9.3875,7.939444,156.5,8.83%
50019,20250121,0.581111,7.44%,9.30694445,7.8125,107.5,18.68%
50019,20251106,0.581111,8.24%,8.7422222167,7.051111,135.5,11.71%
50019,20251019,0.581111,10.79%,5.3872222167,5.387222,104.5,13.33%
50019,20240312,0.581389,5.68%,10.9963888833,10.229444,170.5,9.87%
50019,20231027,0.591389,6.49%,9.6447222167,9.111389,185,6.49%
50019,20240731,0.598056,8.30%,10.11944445,7.208333,72.5,18.69%
50019,20250123,0.598333,7.05%,9.89305555,8.489722,159,7.05%
50019,20231013,0.598611,8.46%,8.9261111167,7.078611,104.5,11.36%
50019,20251013,0.607778,10.93%,9.76805555,5.560556,82.5,15.55%
50019,20240730,0.614167,7.54%,9.7013888833,8.149444,130.5,17.18%
50019,20240809,0.615,8.06%,8.5722222167,7.631667,105.5,18.61%
50019,20250207,0.615278,8.43%,9.2491666667,7.295556,92,24.84%
50019,20231016,0.629722,9.42%,9.325,6.684167,53.5,25.81%
50019,20251018,0.649444,6.97%,23.9902777833,9.319444,157,12.84%
50019,20231204,0.654444,10.07%,8.2166666667,6.500556,74,22.54%
