nox_device_id,Pilot,MainGroupLabel,SubGroupLabel,name,BrandLabel,TypeOfEquipment,ConstructionYear,Power,EngineClassificationLabel,Machinegroep,TNO_fuel_per_hr,Cat_Vermogen_Seb,MachineId,equipment_id,device_id,datekey,CANBUS_device_id,FF_device_id,CANBUS_validated_duration,CANBUS_validated_fuel,CANBUS_AUB,FF_validated_duration,FF_validated_fuel,FF_AUB,countRows,FuelMassFlow,NOxTotal,C02Total,duration_from_rows,FF_NOxPerLiter,FF_NOxPerUur,FF_FPH,FF_motorbelasting,FF_Diff_AUB,FF_U,FF_A_equivalent,CANBUS_NOxPerLiter,CANBUS_NOxPerUur,CANBUS_FPH,CANBUS_motorbelasting,CANBUS_Diff_AUB,CANBUS_U,CANBUS_A_equivalent,NOxMAF_NOxPerLiter,NOxMAF_NOxPerUur,NOxMAF_FPH,NOxMAF_motorbelasting,NOxMAF_AUB_NoxEmission,NOxMAF_Diff_AUB,NOxMAF_A_equivalent,Belastingtype
67655,Wagenborg,Mobiele hijskraan,Mobiele hijskraan 70 ton,K0717 Boven,Tadano Faun,ATF 70G-4L,2015,129.0,Stage-IV,D,12.894350875068314,56 - 130 kW,1590,561811,67655,20251004,67454,62979,3.116667,10.5,0.072283,3.116667,8.072,0.059172,10949,11.921559652073825,0.1318243824761337,31.314446573331384,3,0.01633106819575492,0.04229658878415105,2.589946,0.080308,1.2278169146916396,0.136697,0.040433548477793964,0.012554703092965115,0.04229658878415105,3.368983,0.104464,0.8237259449128247,0.136697,0.04767259161984809,0.011057645670816409,0.04334349398239676,3.919775987829841,0.12154344148309584,0.07958336212119865,0.6564314319289055,0.0504737770167135,fpi
65689,Heuvel Groep,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine < 36 kW,15154,Kobelco,SK50-SRX-7,2025,29.0,Stage-V,A,3.113815141664284,19 - 37 kW,1290,562580,65689,20251028,65688,65690,1.3,4.5,0.0965,1.266667,3.535,0.077033,4609,3.2515561661234154,0.03931236206253458,8.540885992760785,1,0.011120894501424209,0.03103606714514121,2.790788,0.384936,-0.4896685568193556,0.06612,,0.008736080458341018,0.030240278509641984,3.461538,0.477453,-0.5926180097146676,0.06612,,0.01209032231154836,0.03070613786120861,2.5397286416325646,0.350307398845871,0.07143250832246831,-0.44965726409793016,,"dhi, zwaar"
68077,Heijmans,Asfaltverdichting,Statische wals,16-25-03-0052,Hamm,HW90B/10 drierolwals (REBUILD) H123,2019,45.0,Stage-V,A,4.707942659639846,37 - 56 kW,1951,563428,68077,20251014,68078,68076,0.95,2.5,0.05475,0.483333,1.63,0.035017,3345,2.1773485836009185,0.036649835694353684,5.719257201454348,0,0.02248456177567711,0.0758272985588687,3.372416,0.29977,0.04662979965027514,0.039149,,0.014659934277741473,0.038578774415109145,2.631578,0.233918,-0.3305966083223071,0.039149,,0.01683232348296838,0.03944379765763457,2.343336479811916,0.2082965759832814,0.048192801672018365,-0.23951639201683395,,dhi
68155,Heijmans,Asfaltverwerking,Rupsasfaltspreidmachine,15-11-01-0013,Vogele,800-3i/AB220-2TV,2021,55.4,Stage-V,A,5.595604122688101,37 - 56 kW,1909,563718,68155,20251017,68156,68154,0.2,1.0,0.021,0.216667,0.715,0.015383,730,0.7611440060646911,0.021899875045169756,1.9993024409669697,0,0.030629195867370288,0.10107619086048986,3.299994,0.238266,0.42364136027886334,0.021606,,0.021899875045169756,0.10949937522584878,5.0,0.36101,0.04285119262713111,0.021606,,0.028772314924212176,0.10799979803019945,3.7536012765978937,0.27101814271464936,0.016236765121293822,0.34878314008798506,,AAM
69440,SOMA,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine 36 - 150 kW,diameter: 62mm,Komatsu,PC88MR,2023,51.0,Stage-V,A,5.127639449986646,37 - 56 kW,2229,567259,69440,20251128,,,,,,,,,6744,7.731790338321269,0.09453007544547952,20.30914935055878,1,,,,,,,,,,,,,,,0.012226156078878355,0.05046090334472276,4.127290950579138,0.3237090941630697,0.16400247176642538,-0.42360578820964,,"dhi, zwaar"
68047,Heijmans,Asfaltverwerking,Asfaltvoorlader,15-40-03-0001,Vogele,MT3000-3i,2018,160.0,Stage-V,D,15.491933933032792,130 - 560 kW,1920,563399,68047,20251016,68071,68030,7.7,78.0,0.4597,7.666667,79.735,0.468902,26540,62.99926621644559,0.08098488962333031,165.48062616545715,7,0.0010156755455362175,0.010563246013336735,10.400216,0.260005,-0.8272882401368936,0.417066,0.07057625968566172,0.001038267815683722,0.01051751813290004,10.12987,0.253246,-0.8238309992966493,0.417066,0.0705550476693609,0.0012854894110209442,0.010985139842957837,8.545492283933608,0.21363730709834022,0.37705714756880604,-0.7852185268320578,0.07021655301743358,AAM
67501,De Kuiper Infra,Tractor,Tractor 4x4,TR402,Massey-Ferguson,8S.305,2022,215.0,Stage-V,D,20.05783229811576,130 - 560 kW,1280,561803,67501,20251029,,67502,,,,0.083333,0.267,0.001859,33431,0.17912807343574572,0.0038746914681331273,0.47051700021580206,9,0.014511953064169015,0.04649648360353194,3.204012,0.059609,1.084288040953807,0.006091,0.04358661888834777,,,,,,,,0.021630844310526243,0.00041724419312795535,0.01928931608670085,0.00035887099696187624,0.04739923159655302,-0.918254129072951,0.5882174015593665,dtc
67876,Heijmans,Asfaltverwerking,Rupsasfaltspreidmachine,15-12-01-0064,Vogele,Super1800-3i/AB500-3TV,2021,129.0,Stage-V,D,12.32732386609983,56 - 130 kW,1912,562513,67876,20250814,,67877,,,,6.433333,73.615,0.429688,22309,60.830740135297034,0.018393628626887388,159.7845430947087,6,0.0002498625093647679,0.002859113406205988,11.442746,0.354813,-0.9571930595527746,0.282165,0.07214586970912451,,,,,,,,0.00030237390809280135,0.002968177318834475,9.816248159624653,0.3043797878953381,0.3594707167306044,-0.9488313574074185,0.07218909927794902,AAM
65689,Heuvel Groep,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine < 36 kW,15154,Kobelco,SK50-SRX-7,2025,29.0,Stage-V,A,3.113815141664284,19 - 37 kW,1290,562580,65689,20250708,,,,,,,,,3942,2.9027521201841875,0.03595656061080566,7.624679893903099,1,,,,,,,,,,,,,,,0.012387058598901005,0.032837041653703804,2.6509151782503997,0.3656434728621241,0.06353004240368375,-0.4340227197971972,,"dhi, zwaar"
51349,Heijmans,Heistelling,Heistelling met heihamer,38-01-03-0003 ,IHC Fundex,F3500-46 heistelling,2019,220.0,Stage-IV,D,20.944911877279207,130 - 560 kW,1982,30108,51349,20251121,,68334,,,,5.233333,3.488,0.045002,21632,16.921827005418745,0.3878555336562782,44.44868483228723,6,0.11119711400696049,0.07411252707524596,0.666496,0.012118,7.618628808859121,0.391453,-0.15368501549179683,,,,,,,,0.022920428954395895,0.0645469733595098,2.816132869412568,0.051202415807501234,0.12142230582926122,2.1942692160834416,0.02577185968136338,boorstelling
