nox_device_id,Pilot,MainGroupLabel,SubGroupLabel,name,BrandLabel,TypeOfEquipment,ConstructionYear,Power,EngineClassificationLabel,Machinegroep,TNO_fuel_per_hr,Cat_Vermogen_Seb,MachineId,equipment_id,device_id,datekey,CANBUS_device_id,FF_device_id,CANBUS_validated_duration,CANBUS_validated_fuel,CANBUS_AUB,FF_validated_duration,FF_validated_fuel,FF_AUB,countRows,FuelMassFlow,NOxTotal,C02Total,duration_from_rows,FF_NOxPerLiter,FF_NOxPerUur,FF_FPH,FF_motorbelasting,FF_Diff_AUB,FF_U,FF_A_equivalent,CANBUS_NOxPerLiter,CANBUS_NOxPerUur,CANBUS_FPH,CANBUS_motorbelasting,CANBUS_Diff_AUB,CANBUS_U,CANBUS_A_equivalent,NOxMAF_NOxPerLiter,NOxMAF_NOxPerUur,NOxMAF_FPH,NOxMAF_motorbelasting,NOxMAF_AUB_NoxEmission,NOxMAF_Diff_AUB,NOxMAF_A_equivalent,Belastingtype
301450,Boskalis,Dumper,Achteroverdumper 3-assen,D26,Volvo,A30G,2024,264.0,Stage-V,D,24.196549883311135,130 - 560 kW,2317,301450,301450,20260212,,301450,,,,9.15,0.0,,32278,125.51965041602267,0.09008143133732216,329.70336948924853,8,,0.009844965173477832,0.0,0.0,,0.8213039999999999,,,,,,,,,0.0007176679590705998,0.010046878890672016,13.999341566931601,0.21211123586260003,0.7226366672465225,-0.8753433981137972,0.07095541672961786,dhc
305455,Van_Werven,Lader,Wiellader,004.061_Volvo L60H,Volvo,L60H,2016,122.0,Stage-IV,D,12.125318525813835,56 - 130 kW,1238,305455,305455,20260210,,305455,,,,7.75,101.0,0.58415,27626,76.46858114864848,0.3713924916610669,200.8605726769392,7,0.003677153382782841,0.047921611827234444,13.032258,0.4272871475409836,-0.36421725299825913,0.32147000000000003,0.06457936952946476,,,,,,,,0.00485679851884673,0.04839691322847909,9.964776805271134,0.326713993615447,0.45129977820270195,-0.17706032752744794,0.06227167144822701,dtc
67501,De Kuiper Infra,Tractor,Tractor 4x4,TR402,Massey-Ferguson,8S.305,2022,215.0,Stage-V,D,20.05783229811576,130 - 560 kW,1280,561803,67501,20260203,,67502,,,,2.266667,23.355,0.13745,7660,20.032367129196317,0.14366101980566193,52.619162971302934,2,0.006151189030428684,0.06337985235840198,10.303674,0.19169626046511629,0.045187484944793965,0.16569335770000002,0.05942187039311367,,,,,,,,0.007171445035883061,0.06751695304802238,9.414692953818147,0.17515707821057017,0.1188136674976602,0.2091287377227964,0.05730356462968678,dtc
302557,Boskalis,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine > 150 kW,,Caterpillar,340LRE,2023,234.0,Stage-V,D,21.642355288561987,130 - 560 kW,2272,302557,302557,20251203,,,,,,,,,24220,155.28522081064835,0.19747825859822063,407.88880755691594,6,,,,,,,,,,,,,,,0.001271713158324459,0.029352676017385927,23.081208073729012,0.3945505653628891,0.8721790773775018,-0.773580605496746,0.06944546366185264,"dhi, zwaar"
68259,SOMA,Mobiele graafmachine,Mobiele graafmachine 36-150 kW,,Atlas,165Wblue,2024,105.0,Stage-V,D,9.938830524876481,56 - 130 kW,2040,563969,68259,20251219,,68248,,,,2.533333,9.52,0.064075,8770,10.122948332632031,0.15441264019474957,26.590021270552672,2,0.01621981514650731,0.06095236599165983,3.757895,0.14315790476190476,1.4098734326141176,0.0904399881,0.03937120017474662,,,,,,,,0.015253722050224206,0.06338489510319914,4.1553723671179315,0.1582998996997307,0.06684447599621296,1.3100284338154995,0.04119465119356699,dhi
68100,Heijmans,Asfaltverwerking,Rupsasfaltspreidmachine,15-12-01-0063,Vogele,Super1800-3i/AB500-3TV,2019,122.0,Stage-IV,D,11.851930901878623,56 - 130 kW,1911,563657,68100,20260212,,68099,,,,0.316667,3.295,0.019376,1380,2.7742810920135597,0.01193785958291419,7.287224119215872,0,0.0036230226351788132,0.03769846426345085,10.405252,0.34115580327868855,-0.38388420814852453,0.01313534716,0.06490739619785302,,,,,,,,0.00430304615393163,0.031142269470445252,7.237261315914779,0.23728725625950095,0.01689778289687323,-0.29352509404513805,0.06388657155827047,AAM
67664,Wagenborg,Mobiele hijskraan,Torenkraan 4-asser,K9421 Boven,Spierings,SK 597-AT4,2018,103.0,Stage-IIIa,C,10.163193350546488,56 - 130 kW,1593,562042,67664,20251104,67452,67665,7.0,40.5,0.3023,6.966667,35.277,0.267661,19007,16.061191575294494,0.11886279526245877,42.188047551406605,5,0.003369413364584822,0.01706164443663789,5.063683,0.19664788349514564,-0.5559203796501591,0.717566701,0.049169566372075243,0.002934883833640957,0.016980399323208394,5.785714,0.22468792233009707,-0.6068051761083071,0.717566701,0.04984633412439835,0.007400621224473461,0.022513078389820293,3.042052512479728,0.11813796164969817,0.1324024743969437,-0.1022615264265595,0.04183262150488529,fpi
65689,Heuvel Groep,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine < 36 kW,15154,Kobelco,SK50-SRX-7,2025,29.0,Stage-V,A,3.1138151416642836,19 - 37 kW,1290,562580,65689,20251030,65688,65690,0.2,0.5,0.011,0.183333,0.67,0.014317,680,0.531253515652053,0.012030841115080288,1.3954474345885632,0,0.017956479276239234,0.06562288903296346,3.654552,0.5040761379310345,-0.1596814196353784,0.0095699826,,0.024061682230160576,0.06015420557540144,2.5,0.3448275862068966,0.0937128286436626,0.0095699826,,0.022646139292487887,0.06369298798801558,2.812531847719564,0.387935427271664,0.01156951031304106,0.039874704249083015,,"dhi, zwaar"
65689,Heuvel Groep,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine < 36 kW,15154,Kobelco,SK50-SRX-7,2025,29.0,Stage-V,A,3.1138151416642836,19 - 37 kW,1290,562580,65689,20251008,65688,65690,4.95,15.5,0.33475,4.616667,11.875,0.260583,17129,11.225164358185957,0.13447209618178071,29.485220040830377,4,0.011323965994255218,0.029127527755798875,2.572201,0.35478634482758625,-0.48395675780161906,0.2409900174,,0.008675619108501982,0.027166080036723377,3.131313,0.43190524137931036,-0.598290974811708,0.2409900174,,0.01197952135851952,0.028261988602859934,2.35919180383286,0.3254057660459117,0.24829356216371914,-0.45841488997965696,,"dhi, zwaar"
67876,Heijmans,Asfaltverwerking,Rupsasfaltspreidmachine,15-12-01-0064,Vogele,Super1800-3i/AB500-3TV,2021,129.0,Stage-V,D,12.32732386609983,56 - 130 kW,1912,562513,67876,20251111,,67877,,,,4.35,43.73,0.257892,11685,29.917657477739663,0.013715527983853492,78.58492630391437,3,0.00031364116130467624,0.003152994938816895,10.052873,0.31171699224806204,-0.9468167760773755,0.190791,0.07213854144583594,,,,,,,,0.00045844257673110193,0.004225580300604957,9.217251003899356,0.2858062326790498,0.17778451537979412,-0.9228530788828625,0.07192177937045,AAM
